timestamp,user_time,cpu_ratio,ram_ratio,disk_ratio,label
1767674694925,2026-01-06T04:44:54.925801,0.5,0.4796,0.5015,0
1767674695933,2026-01-06T04:44:55.933831,0.476,0.4786,0.5015,0
1767674696939,2026-01-06T04:44:56.939757,0.564,0.4802,0.5015,0
1767674697954,2026-01-06T04:44:57.954716,0.558,0.4811,0.5015,0
1767674698965,2026-01-06T04:44:58.965922,0.636,0.4834,0.5015,0
1767674699978,2026-01-06T04:44:59.978913,0.762,0.4887,0.5015,0
1767674701300,2026-01-06T04:45:01.300915,0.973,0.494,0.5015,1
1767674702353,2026-01-06T04:45:02.353913,0.993,0.4973,0.5015,1
1767674703406,2026-01-06T04:45:03.406939,0.976,0.497,0.5015,1
1767674704417,2026-01-06T04:45:04.417911,0.915,0.5011,0.5015,1
1767674705457,2026-01-06T04:45:05.457041,0.911,0.5038,0.5015,1
1767674706496,2026-01-06T04:45:06.496036,0.728,0.5041,0.5015,0
1767674707506,2026-01-06T04:45:07.506204,0.636,0.5021,0.5015,0
1767674708523,2026-01-06T04:45:08.523201,0.549,0.5018,0.5015,0
1767674709538,2026-01-06T04:45:09.538475,0.512,0.4998,0.5015,0
1767674710548,2026-01-06T04:45:10.548446,0.412,0.5002,0.5015,0
1767674711558,2026-01-06T04:45:11.558703,0.532,0.4994,0.5015,0
1767674712565,2026-01-06T04:45:12.565713,0.593,0.4988,0.5015,0
1767674713577,2026-01-06T04:45:13.577677,0.417,0.4982,0.5015,0
1767674714592,2026-01-06T04:45:14.592020,0.538,0.4951,0.5015,0
1767674715609,2026-01-06T04:45:15.609035,0.31,0.4953,0.5015,0
1767674716620,2026-01-06T04:45:16.620736,0.318,0.4952,0.5015,0
1767674717631,2026-01-06T04:45:17.631713,0.612,0.49,0.5015,0
1767674718693,2026-01-06T04:45:18.693359,0.781,0.4913,0.5015,0
1767674719717,2026-01-06T04:45:19.717374,0.65,0.492,0.5015,0
1767674720729,2026-01-06T04:45:20.729364,0.402,0.4924,0.5015,0
